ShapeBeforeBreaking,ShapeAfter,Location
TINY,TINY,spoon/scc-sdsm/break/1-ec1cb94254275e10e1a97196c8697f5825a1d261
OTHER,OTHER,spoon/scc-sdsm/break/1-42018d4e4c9b89145c765b99439ceabcfcbf721c
TINY,TINY,spoon/scc-sdsm/break/1-661a3a8d084e62fce3562efc6543afc2c3e13307
STAR,STAR,spoon/scc-sdsm/break/1-b957c637c8cb5b7319a63ed2976629bbf1d3085a
STAR,TINY,spoon/scc-sdsm/break/1-91f198e8e6bc93a85202ef7c03e9275983b5764c
TINY,TINY,spoon/scc-sdsm/break/1-59185ec081fc1d592fbfdbcf3ae516ac726ab6a4
STAR,STAR,spoon/scc-sdsm/break/1-6a121da108a97a7306acb9d1b19564762f9afbb0
OTHER,CIRCLE,spoon/scc-sdsm/break/1-cddf400c69d5bfb08b01fdaf672175a8c5dbc193
TINY,NoSCCAfter,spoon/scc-sdsm/break/1-8d8a85e000a486c9d71bb88ab8514e569f0131cb
TINY,NoSCCAfter,spoon/scc-sdsm/break/1-894a2e7979bd2f12d974ed48adb8651405643c2b
CIRCLE,NoSCCAfter,spoon/scc-sdsm/break/1-ee1c2aeeab31beacb4b3e76703c9a492238b74fa
OTHER,OTHER,spoon/scc-sdsm/break/1-5a523b3742c43bd315ecee1b55e46523cfd14207
STAR,TINY,spoon/scc-sdsm/break/1-09b49f6498c1482bd674856c78e7881254605ff9
TINY,TINY,spoon/scc-sdsm/break/1-2a377949a103aab758dc88c109a1887deabc25c1
CHAIN,STAR,spoon/scc-sdsm/break/1-0e2635af429d89387bbb4219283900c87b8d8ead
OTHER,OTHER,spoon/scc-sdsm/break/1-bc86c70171344bb4c188e4dd916417f0e3ae2816
CIRCLE,TINY,spoon/scc-sdsm/break/1-4ebdea6c8246fe8043df17fde88f6bd2171d387a
OTHER,OTHER,spoon/scc-sdsm/break/1-f6d5e9c1f049105a3aa3528cab9aeb93af28b2b3
TINY,NoSCCAfter,spoon/scc-sdsm/break/1-39919e3fdb5bea8fc2c17520e7a77053bdd732dd
TINY,NoSCCAfter,spoon/scc-sdsm/break/1-64e6f20eea605e6187da1ba64467be18d953b38b
TINY,NoSCCAfter,spoon/scc-sdsm/break/1-d935bfff7e52ab35f5f0fa69ebddeaa09c86e321
STAR,STAR,spoon/scc-sdsm/break/1-fa462e2702e9b3a11ee3fd6b46c179e5ba698ea3
STAR,CHAIN,spoon/scc-sdsm/break/1-3b88ba83072a6bfb373551ac09a9a714683d3bc1
STAR,STAR,spoon/scc-sdsm/break/1-e731919f87e189b5c09a7dad06a815b227047b56
CIRCLE,OTHER,spoon/scc-sdsm/break/1-f77922d280cee5008247ac2500c8b4c11acf06a0
OTHER,OTHER,yasson/scc-sdsm/break/1-4b2e6d8c8b4f53d8144fdb188e72f67181d6d780
TINY,NoSCCAfter,yasson/scc-sdsm/break/1-b74033d37ea6f1cb297922540131eb4a483dc24e
OTHER,OTHER,yasson/scc-sdsm/break/2-98fb86162cf82afd25370e315bbd61ad6c978cb9
STAR,STAR,yasson/scc-sdsm/break/1-6d68e91dacb8e8550c0c33206c3e0bc9822fe946
OTHER,OTHER,yasson/scc-sdsm/break/1-98fb86162cf82afd25370e315bbd61ad6c978cb9
TINY,TINY,yasson/scc-sdsm/break/2-6d68e91dacb8e8550c0c33206c3e0bc9822fe946
OTHER,OTHER,yasson/scc-sdsm/break/1-1f680fa4bac28f3f9ec78215c74b40a643c81fca
OTHER,OTHER,yasson/scc-sdsm/break/2-4b2e6d8c8b4f53d8144fdb188e72f67181d6d780
TINY,NoSCCAfter,yasson/scc-sdsm/break/2-b74033d37ea6f1cb297922540131eb4a483dc24e
OTHER,TINY,yasson/scc-sdsm/break/1-415fd53a6b25fd71b0994a744e59bce1fcad17f9
OTHER,OTHER,yasson/scc-sdsm/break/3-98fb86162cf82afd25370e315bbd61ad6c978cb9
OTHER,OTHER,yasson/scc-sdsm/break/1-417e63049083d703c0695aea5b3bbd663cefa27c
OTHER,OTHER,yasson/scc-sdsm/break/1-a57e1e48205a143911b38ba46cb46a07c22688f0
TINY,OTHER,yasson/scc-sdsm/break/1-50f95cbe8d102b9a2cdfd2da846c9d149f4c7535
OTHER,OTHER,yasson/scc-sdsm/break/3-b74033d37ea6f1cb297922540131eb4a483dc24e
OTHER,OTHER,yasson/scc-sdsm/break/1-68b1fb9f11ea6a2fc8007cad523268b9e769cad2
OTHER,CIRCLE,yasson/scc-sdsm/break/1-cbad0bdae2ab4950fdcd5b847aa096ed5c1ac6ca
TINY,NoSCCAfter,yasson/scc-sdsm/break/1-36764bbbb3f2fda9a6f6a28f85b64124179acaa7
OTHER,OTHER,yasson/scc-sdsm/break/1-ed450fcef5fcf472f00b2758ce4073d1cc7ff3af
