ShapeBeforeBreaking,ShapeAfter,Location
TINY,STAR,commons-math/scc-sdsm/break/1
OTHER,NoSCCAfter,commons-math/scc-sdsm/break/10
TINY,NoSCCAfter,commons-math/scc-sdsm/break/19
OTHER,CIRCLE,commons-math/scc-sdsm/break/8
TINY,NoSCCAfter,commons-math/scc-sdsm/break/21
OTHER,CIRCLE,commons-math/scc-sdsm/break/24
TINY,TINY,commons-math/scc-sdsm/break/23
TINY,NoSCCAfter,commons-math/scc-sdsm/break/4
TINY,NoSCCAfter,commons-math/scc-sdsm/break/15
TINY,TINY,commons-math/scc-sdsm/break/3
TINY,NoSCCAfter,commons-math/scc-sdsm/break/12
STAR,STAR,commons-math/scc-sdsm/break/2
STAR,NoSCCAfter,commons-math/scc-sdsm/break/13
OTHER,CIRCLE,commons-math/scc-sdsm/break/5
OTHER,OTHER,commons-math/scc-sdsm/break/14
TINY,NoSCCAfter,commons-math/scc-sdsm/break/22
TINY,NoSCCAfter,commons-cli/scc-sdsm/break/1
CIRCLE,TINY,avro/scc-sdsm/break/1
CIRCLE,STAR,ant/scc-sdsm/break/20
CIRCLE,STAR,ant/scc-sdsm/break/18
TINY,OTHER,ant/scc-sdsm/break/27
TINY,NoSCCAfter,ant/scc-sdsm/break/9
CIRCLE,NoSCCAfter,ant/scc-sdsm/break/11
TINY,NoSCCAfter,ant/scc-sdsm/break/7
TINY,NoSCCAfter,ant/scc-sdsm/break/29
TINY,NoSCCAfter,ant/scc-sdsm/break/16
STAR,OTHER,ant/scc-sdsm/break/6
STAR,TINY,ant/scc-sdsm/break/28
CIRCLE,TINY,ant/scc-sdsm/break/17
STAR,STAR,ant/scc-sdsm/break/1
TINY,NoSCCAfter,ant/scc-sdsm/break/10
TINY,NoSCCAfter,ant/scc-sdsm/break/19
CIRCLE,NoSCCAfter,ant/scc-sdsm/break/26
TINY,NoSCCAfter,ant/scc-sdsm/break/8
STAR,STAR,ant/scc-sdsm/break/21
TINY,NoSCCAfter,ant/scc-sdsm/break/30
TINY,TINY,ant/scc-sdsm/break/24
TINY,NoSCCAfter,ant/scc-sdsm/break/23
OTHER,OTHER,ant/scc-sdsm/break/4
CLIQUE,TINY,ant/scc-sdsm/break/15
TINY,NoSCCAfter,ant/scc-sdsm/break/3
CIRCLE,NoSCCAfter,ant/scc-sdsm/break/12
TINY,NoSCCAfter,ant/scc-sdsm/break/2
TINY,NoSCCAfter,ant/scc-sdsm/break/13
TINY,NoSCCAfter,ant/scc-sdsm/break/5
CIRCLE,NoSCCAfter,ant/scc-sdsm/break/14
TINY,NoSCCAfter,ant/scc-sdsm/break/22
TINY,NoSCCAfter,ant/scc-sdsm/break/25
OTHER,TINY,ambari/scc-sdsm/break/61
CIRCLE,CIRCLE,ambari/scc-sdsm/break/59
STAR,NoSCCAfter,ambari/scc-sdsm/break/66
STAR,STAR,ambari/scc-sdsm/break/50
TINY,NoSCCAfter,ambari/scc-sdsm/break/68
TINY,NoSCCAfter,ambari/scc-sdsm/break/57
CHAIN,NoSCCAfter,ambari/scc-sdsm/break/32
TINY,NoSCCAfter,ambari/scc-sdsm/break/35
STAR,NoSCCAfter,ambari/scc-sdsm/break/69
CIRCLE,STAR,ambari/scc-sdsm/break/56
TINY,NoSCCAfter,ambari/scc-sdsm/break/51
TINY,NoSCCAfter,ambari/scc-sdsm/break/58
TINY,NoSCCAfter,ambari/scc-sdsm/break/67
OTHER,OTHER,ambari/scc-sdsm/break/60
STAR,NoSCCAfter,ambari/scc-sdsm/break/34
STAR,STAR,ambari/scc-sdsm/break/33
CIRCLE,TINY,ambari/scc-sdsm/break/20
CIRCLE,NoSCCAfter,ambari/scc-sdsm/break/18
CIRCLE,TINY,ambari/scc-sdsm/break/27
OTHER,STAR,ambari/scc-sdsm/break/9
CIRCLE,OTHER,ambari/scc-sdsm/break/11
TINY,NoSCCAfter,ambari/scc-sdsm/break/7
TINY,NoSCCAfter,ambari/scc-sdsm/break/29
CLIQUE,TINY,ambari/scc-sdsm/break/16
TINY,NoSCCAfter,ambari/scc-sdsm/break/42
TINY,NoSCCAfter,ambari/scc-sdsm/break/45
TINY,NoSCCAfter,ambari/scc-sdsm/break/6
STAR,STAR,ambari/scc-sdsm/break/28
STAR,NoSCCAfter,ambari/scc-sdsm/break/17
TINY,NoSCCAfter,ambari/scc-sdsm/break/1
CIRCLE,TINY,ambari/scc-sdsm/break/10
STAR,TINY,ambari/scc-sdsm/break/19
TINY,NoSCCAfter,ambari/scc-sdsm/break/26
STAR,TINY,ambari/scc-sdsm/break/8
