ShapeBefore,ShapeAfterAggregate,Location
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/138
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/53
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/30
OTHER,OTHER,ambari/scc-sdsm/aggregate/190
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/164
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/37
TINY,CLIQUE,ambari/scc-sdsm/aggregate/163
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/197
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/155
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/199
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/39
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/152
STAR,CHAIN,ambari/scc-sdsm/aggregate/106
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/99
TINY,CIRCLE,ambari/scc-sdsm/aggregate/52
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/139
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/101
OTHER,OTHER,ambari/scc-sdsm/aggregate/55
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/137
TINY,STAR,ambari/scc-sdsm/aggregate/97
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/108
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/63
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/130
CIRCLE,CIRCLE,ambari/scc-sdsm/aggregate/64
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/90
TINY,OTHER,ambari/scc-sdsm/aggregate/248
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/241
STAR,OTHER,ambari/scc-sdsm/aggregate/246
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/212
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/215
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/223
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/224
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/247
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/240
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/249
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/225
CIRCLE,CIRCLE,ambari/scc-sdsm/aggregate/222
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/214
OTHER,OTHER,ambari/scc-sdsm/aggregate/213
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/231
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/209
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/236
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/200
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/238
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/207
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/253
TINY,STAR,ambari/scc-sdsm/aggregate/239
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/206
TINY,STAR,ambari/scc-sdsm/aggregate/201
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/208
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/237
CLIQUE,STAR,ambari/scc-sdsm/aggregate/230
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/252
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/46
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/79
TINY,STAR,ambari/scc-sdsm/aggregate/112
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/41
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/115
TINY,STAR,ambari/scc-sdsm/aggregate/83
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/77
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/123
OTHER,OTHER,ambari/scc-sdsm/aggregate/48
TINY,STAR,ambari/scc-sdsm/aggregate/70
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/84
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/124
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/184
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/170
TINY,CIRCLE,ambari/scc-sdsm/aggregate/24
TINY,STAR,ambari/scc-sdsm/aggregate/177
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/183
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/148
TINY,CIRCLE,ambari/scc-sdsm/aggregate/23
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/141
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/4
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/15
TINY,CIRCLE,ambari/scc-sdsm/aggregate/3
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/146
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/12
STAR,OTHER,ambari/scc-sdsm/aggregate/179
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/85
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/71
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/125
OTHER,OTHER,ambari/scc-sdsm/aggregate/76
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/82
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/49
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/122
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/40
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/114
STAR,CIRCLE,ambari/scc-sdsm/aggregate/47
OTHER,OTHER,ambari/scc-sdsm/aggregate/113
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/78
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/147
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/2
STAR,OTHER,ambari/scc-sdsm/aggregate/178
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/13
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/5
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/140
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/14
TINY,STAR,ambari/scc-sdsm/aggregate/182
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/176
TINY,CIRCLE,ambari/scc-sdsm/aggregate/22
STAR,CIRCLE,ambari/scc-sdsm/aggregate/149
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/171
OTHER,OTHER,ambari/scc-sdsm/aggregate/185
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/25
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/135
TINY,STAR,cassandra/scc-sdsm/aggregate/307
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/61
CHAIN,OTHER,cassandra/scc-sdsm/aggregate/95
OTHER,OTHER,cassandra/scc-sdsm/aggregate/338
OTHER,OTHER,cassandra/scc-sdsm/aggregate/300
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/132
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/59
STAR,OTHER,cassandra/scc-sdsm/aggregate/92
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/66
OTHER,OTHER,cassandra/scc-sdsm/aggregate/336
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/104
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/309
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/50
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/68
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/103
STAR,OTHER,cassandra/scc-sdsm/aggregate/331
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/57
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/168
OTHER,OTHER,cassandra/scc-sdsm/aggregate/391
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/365
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/157
OTHER,OTHER,cassandra/scc-sdsm/aggregate/150
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/362
OTHER,OTHER,cassandra/scc-sdsm/aggregate/396
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/159
STAR,STAR,cassandra/scc-sdsm/aggregate/32
OTHER,OTHER,cassandra/scc-sdsm/aggregate/166
OTHER,OTHER,cassandra/scc-sdsm/aggregate/354
TINY,OTHER,cassandra/scc-sdsm/aggregate/192
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/398
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/35
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/195
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/353
STAR,OTHER,cassandra/scc-sdsm/aggregate/161
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/330
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/102
OTHER,OTHER,cassandra/scc-sdsm/aggregate/69
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/56
OTHER,OTHER,cassandra/scc-sdsm/aggregate/105
STAR,OTHER,cassandra/scc-sdsm/aggregate/337
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/51
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/308
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/58
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/133
TINY,STAR,cassandra/scc-sdsm/aggregate/301
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/67
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/93
OTHER,OTHER,cassandra/scc-sdsm/aggregate/306
STAR,OTHER,cassandra/scc-sdsm/aggregate/134
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/94
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/339
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/60
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/399
STAR,OTHER,cassandra/scc-sdsm/aggregate/34
OTHER,OTHER,cassandra/scc-sdsm/aggregate/160
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/352
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/194
STAR,CHAIN,cassandra/scc-sdsm/aggregate/33
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/158
STAR,OTHER,cassandra/scc-sdsm/aggregate/193
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/355
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/167
STAR,OTHER,cassandra/scc-sdsm/aggregate/397
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/363
OTHER,OTHER,cassandra/scc-sdsm/aggregate/151
OTHER,OTHER,cassandra/scc-sdsm/aggregate/169
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/156
OTHER,OTHER,cassandra/scc-sdsm/aggregate/364
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/390
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/216
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/229
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/211
OTHER,OTHER,cassandra/scc-sdsm/aggregate/227
OTHER,OTHER,cassandra/scc-sdsm/aggregate/218
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/220
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/280
TINY,OTHER,cassandra/scc-sdsm/aggregate/422
OTHER,OTHER,cassandra/scc-sdsm/aggregate/274
STAR,STAR,cassandra/scc-sdsm/aggregate/273
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/425
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/287
STAR,OTHER,cassandra/scc-sdsm/aggregate/413
STAR,OTHER,cassandra/scc-sdsm/aggregate/245
TINY,STAR,cassandra/scc-sdsm/aggregate/289
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/242
TINY,STAR,cassandra/scc-sdsm/aggregate/414
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/221
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/226
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/219
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/210
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/217
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/228
OTHER,OTHER,cassandra/scc-sdsm/aggregate/288
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/243
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/415
OTHER,OTHER,cassandra/scc-sdsm/aggregate/412
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/244
OTHER,OTHER,cassandra/scc-sdsm/aggregate/286
OTHER,OTHER,cassandra/scc-sdsm/aggregate/272
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/424
OTHER,OTHER,cassandra/scc-sdsm/aggregate/423
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/275
OTHER,OTHER,cassandra/scc-sdsm/aggregate/281
OTHER,OTHER,cassandra/scc-sdsm/aggregate/257
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/401
TINY,CLIQUE,cassandra/scc-sdsm/aggregate/268
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/406
CHAIN,OTHER,cassandra/scc-sdsm/aggregate/250
TINY,STAR,cassandra/scc-sdsm/aggregate/292
CLIQUE,STAR,cassandra/scc-sdsm/aggregate/266
TINY,STAR,cassandra/scc-sdsm/aggregate/430
STAR,STAR,cassandra/scc-sdsm/aggregate/259
OTHER,OTHER,cassandra/scc-sdsm/aggregate/437
OTHER,OTHER,cassandra/scc-sdsm/aggregate/261
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/295
OTHER,OTHER,cassandra/scc-sdsm/aggregate/408
TINY,OTHER,cassandra/scc-sdsm/aggregate/235
OTHER,OTHER,cassandra/scc-sdsm/aggregate/232
OTHER,OTHER,cassandra/scc-sdsm/aggregate/204
TINY,STAR,cassandra/scc-sdsm/aggregate/203
OTHER,OTHER,cassandra/scc-sdsm/aggregate/294
OTHER,OTHER,cassandra/scc-sdsm/aggregate/436
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/260
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/409
OTHER,OTHER,cassandra/scc-sdsm/aggregate/267
TINY,STAR,cassandra/scc-sdsm/aggregate/431
TINY,STAR,cassandra/scc-sdsm/aggregate/293
CHAIN,OTHER,cassandra/scc-sdsm/aggregate/258
OTHER,OTHER,cassandra/scc-sdsm/aggregate/407
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/251
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/438
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/256
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/400
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/269
STAR,OTHER,cassandra/scc-sdsm/aggregate/202
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/205
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/233
OTHER,OTHER,cassandra/scc-sdsm/aggregate/234
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/346
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/174
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/180
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/379
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/20
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/187
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/18
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/173
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/341
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/27
OTHER,OTHER,cassandra/scc-sdsm/aggregate/9
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/383
OTHER,OTHER,cassandra/scc-sdsm/aggregate/145
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/377
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/11
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/348
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/370
CHAIN,CIRCLE,cassandra/scc-sdsm/aggregate/142
OTHER,OTHER,cassandra/scc-sdsm/aggregate/384
OTHER,OTHER,cassandra/scc-sdsm/aggregate/7
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/29
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/16
STAR,STAR,cassandra/scc-sdsm/aggregate/189
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/129
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/42
OTHER,OTHER,cassandra/scc-sdsm/aggregate/89
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/116
TINY,STAR,cassandra/scc-sdsm/aggregate/324
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/45
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/323
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/111
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/73
OTHER,OTHER,cassandra/scc-sdsm/aggregate/118
STAR,STAR,cassandra/scc-sdsm/aggregate/87
OTHER,OTHER,cassandra/scc-sdsm/aggregate/315
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/127
TINY,OTHER,cassandra/scc-sdsm/aggregate/80
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/74
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/120
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/312
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/6
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/385
OTHER,OTHER,cassandra/scc-sdsm/aggregate/28
OTHER,OTHER,cassandra/scc-sdsm/aggregate/143
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/371
OTHER,OTHER,cassandra/scc-sdsm/aggregate/17
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/188
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/376
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/144
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/382
OTHER,OTHER,cassandra/scc-sdsm/aggregate/1
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/349
OTHER,OTHER,cassandra/scc-sdsm/aggregate/10
STAR,STAR,cassandra/scc-sdsm/aggregate/340
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/172
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/186
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/19
TINY,OTHER,cassandra/scc-sdsm/aggregate/26
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/8
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/181
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/175
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/347
OTHER,OTHER,cassandra/scc-sdsm/aggregate/21
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/378
TINY,STAR,cassandra/scc-sdsm/aggregate/75
STAR,STAR,cassandra/scc-sdsm/aggregate/81
OTHER,OTHER,cassandra/scc-sdsm/aggregate/313
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/121
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/119
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/86
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/72
OTHER,OTHER,cassandra/scc-sdsm/aggregate/126
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/314
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/44
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/110
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/322
STAR,OTHER,cassandra/scc-sdsm/aggregate/43
OTHER,OTHER,cassandra/scc-sdsm/aggregate/128
OTHER,OTHER,cassandra/scc-sdsm/aggregate/88
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/325
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/117
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/198
OTHER,OTHER,cassandra/scc-sdsm/aggregate/361
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/153
STAR,OTHER,cassandra/scc-sdsm/aggregate/38
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/395
OTHER,OTHER,cassandra/scc-sdsm/aggregate/359
STAR,OTHER,cassandra/scc-sdsm/aggregate/392
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/154
OTHER,OTHER,cassandra/scc-sdsm/aggregate/366
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/36
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/196
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/162
STAR,OTHER,cassandra/scc-sdsm/aggregate/350
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/368
OTHER,OTHER,cassandra/scc-sdsm/aggregate/31
TINY,STAR,cassandra/scc-sdsm/aggregate/357
OTHER,OTHER,cassandra/scc-sdsm/aggregate/165
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/191
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/131
OTHER,OTHER,cassandra/scc-sdsm/aggregate/303
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/91
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/65
OTHER,OTHER,cassandra/scc-sdsm/aggregate/304
STAR,OTHER,cassandra/scc-sdsm/aggregate/136
OTHER,OTHER,cassandra/scc-sdsm/aggregate/62
CHAIN,CIRCLE,cassandra/scc-sdsm/aggregate/96
STAR,STAR,cassandra/scc-sdsm/aggregate/109
OTHER,OTHER,cassandra/scc-sdsm/aggregate/332
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/100
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/54
STAR,STAR,cassandra/scc-sdsm/aggregate/107
OTHER,OTHER,cassandra/scc-sdsm/aggregate/335
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/98
STAR,CIRCLE,cassandra/scc-sdsm/aggregate/138
NoSCCBefore,STAR,cassandra/scc-sdsm/aggregate/53
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/30
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/369
OTHER,OTHER,cassandra/scc-sdsm/aggregate/190
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/164
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/356
STAR,STAR,cassandra/scc-sdsm/aggregate/37
OTHER,OTHER,cassandra/scc-sdsm/aggregate/351
CLIQUE,STAR,cassandra/scc-sdsm/aggregate/163
TINY,STAR,cassandra/scc-sdsm/aggregate/197
OTHER,OTHER,cassandra/scc-sdsm/aggregate/358
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/367
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/155
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/393
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/199
STAR,OTHER,cassandra/scc-sdsm/aggregate/39
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/394
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/152
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/360
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/334
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/106
OTHER,OTHER,cassandra/scc-sdsm/aggregate/99
OTHER,OTHER,cassandra/scc-sdsm/aggregate/52
TINY,OTHER,cassandra/scc-sdsm/aggregate/139
OTHER,OTHER,cassandra/scc-sdsm/aggregate/101
CIRCLE,CIRCLE,cassandra/scc-sdsm/aggregate/333
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/55
TINY,STAR,cassandra/scc-sdsm/aggregate/137
STAR,OTHER,cassandra/scc-sdsm/aggregate/305
OTHER,OTHER,cassandra/scc-sdsm/aggregate/97
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/108
TINY,STAR,cassandra/scc-sdsm/aggregate/63
OTHER,OTHER,cassandra/scc-sdsm/aggregate/302
TINY,STAR,cassandra/scc-sdsm/aggregate/130
TINY,OTHER,cassandra/scc-sdsm/aggregate/64
TINY,STAR,cassandra/scc-sdsm/aggregate/90
TINY,CLIQUE,cassandra/scc-sdsm/aggregate/419
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/270
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/426
OTHER,OTHER,cassandra/scc-sdsm/aggregate/284
STAR,OTHER,cassandra/scc-sdsm/aggregate/248
TINY,STAR,cassandra/scc-sdsm/aggregate/283
STAR,OTHER,cassandra/scc-sdsm/aggregate/421
OTHER,OTHER,cassandra/scc-sdsm/aggregate/277
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/428
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/241
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/417
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/279
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/410
OTHER,OTHER,cassandra/scc-sdsm/aggregate/246
STAR,OTHER,cassandra/scc-sdsm/aggregate/212
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/215
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/223
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/224
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/278
NoSCCBefore,CIRCLE,cassandra/scc-sdsm/aggregate/411
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/247
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/429
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/240
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/416
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/249
TINY,CIRCLE,cassandra/scc-sdsm/aggregate/420
OTHER,OTHER,cassandra/scc-sdsm/aggregate/276
TINY,STAR,cassandra/scc-sdsm/aggregate/282
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/418
OTHER,OTHER,cassandra/scc-sdsm/aggregate/285
CLIQUE,STAR,cassandra/scc-sdsm/aggregate/271
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/427
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/225
TINY,STAR,cassandra/scc-sdsm/aggregate/222
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/214
CIRCLE,CHAIN,cassandra/scc-sdsm/aggregate/213
OTHER,OTHER,cassandra/scc-sdsm/aggregate/231
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/209
OTHER,OTHER,cassandra/scc-sdsm/aggregate/236
CIRCLE,OTHER,cassandra/scc-sdsm/aggregate/200
STAR,STAR,cassandra/scc-sdsm/aggregate/238
NoSCCBefore,OTHER,cassandra/scc-sdsm/aggregate/207
OTHER,OTHER,cassandra/scc-sdsm/aggregate/405
OTHER,OTHER,cassandra/scc-sdsm/aggregate/253
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/298
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/254
NoSCCBefore,TINY,cassandra/scc-sdsm/aggregate/402
STAR,OTHER,cassandra/scc-sdsm/aggregate/434
OTHER,OTHER,cassandra/scc-sdsm/aggregate/262
