ShapeBefore,ShapeAfterAggregate,Location
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/45
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/111
CIRCLE,STAR,wicket/scc-sdsm/aggregate/73
OTHER,OTHER,wicket/scc-sdsm/aggregate/118
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/87
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/127
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/80
CLIQUE,STAR,wicket/scc-sdsm/aggregate/74
OTHER,OTHER,wicket/scc-sdsm/aggregate/120
OTHER,OTHER,wicket/scc-sdsm/aggregate/6
STAR,OTHER,wicket/scc-sdsm/aggregate/28
STAR,OTHER,wicket/scc-sdsm/aggregate/143
STAR,CIRCLE,wicket/scc-sdsm/aggregate/17
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/188
CLIQUE,CIRCLE,wicket/scc-sdsm/aggregate/144
TINY,CIRCLE,wicket/scc-sdsm/aggregate/1
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/10
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/172
STAR,OTHER,wicket/scc-sdsm/aggregate/186
TINY,STAR,wicket/scc-sdsm/aggregate/19
CIRCLE,OTHER,wicket/scc-sdsm/aggregate/26
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/8
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/181
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/175
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/21
STAR,OTHER,wicket/scc-sdsm/aggregate/75
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/81
STAR,CIRCLE,wicket/scc-sdsm/aggregate/121
TINY,CIRCLE,wicket/scc-sdsm/aggregate/119
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/86
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/72
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/126
TINY,CIRCLE,wicket/scc-sdsm/aggregate/44
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/110
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/43
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/128
TINY,STAR,wicket/scc-sdsm/aggregate/88
TINY,STAR,wicket/scc-sdsm/aggregate/117
CIRCLE,STAR,wicket/scc-sdsm/aggregate/198
STAR,CIRCLE,wicket/scc-sdsm/aggregate/153
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/38
STAR,CIRCLE,wicket/scc-sdsm/aggregate/154
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/36
TINY,STAR,wicket/scc-sdsm/aggregate/196
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/162
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/31
CIRCLE,OTHER,wicket/scc-sdsm/aggregate/165
CIRCLE,OTHER,wicket/scc-sdsm/aggregate/191
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/131
